User,Date Created,Number of likes,Source of Tweet,Tweet
Roberto Alejandro,2022-08-14 22:36:22+00:00,0,Twitter for Android,"JaAJJAJAJA la democracia es tiranía, Las mismas palabra que usaba  la Marcela cubillos. Lo que molesta es la poca s… https://t.co/SHNb5EEdBi"
Dokarmo Guerrero,2022-08-14 20:03:59+00:00,0,Twitter for Android,@Roccus_Herald @Monka_lover Puro amor de Ximena Rincón y Marcela Cubillos
Pancho #Apruebo4Septiembre UC,2022-08-14 14:05:04+00:00,2,Twitter for Android,@ximerincon @matiaswalkerp Ximena Marcela Rincón Cubillos https://t.co/BUXdmjcCNV
meli errazuriz lavalle 🅰️🇨🇱 #Merluzos,2022-08-14 06:12:54+00:00,78,Twitter Web App,marcela cubillos se equivoca y se pone la peluca de ximena rincón por error 😜😳😂 https://t.co/kzhlTaKkym
chata hasta no poder,2022-08-14 04:51:51+00:00,0,Twitter for iPhone,"Marcela Cubillos a Monica Rincon: ""¡Que Pregunta Más Torcida!"" https://t.co/VivGYVRXp6 vía @YouTube"
Jose Miguel Arcos,2022-08-13 20:25:54+00:00,49,Twitter for iPhone,"“Marcela Ximena Cubillos Rincón”
👇
La Metamorfosis de Kafka es un moco de pavo al lado del espeluznante espectáculo… https://t.co/t0cwCT0Bfe"
Batgirl🌳,2022-08-13 16:56:12+00:00,2,Twitter for Android,"Cuando Marcela Cubíllos dice una cosa, siempre hace otra, es un escorpión ! Mejor q este fuera de Chile, un veneno… https://t.co/29Emo2F1mP"
JCrisLopezB,2022-08-13 14:23:27+00:00,0,Twitter for Android,@charovargas_ Pero si tú sector quería sacar la asignatura de Historia d los colegios con Marcela Cubillos como ministra de educación 🤷🏻‍♂️
Enrique,2022-08-13 13:06:24+00:00,1,Twitter for Android,"@FloMa292 @pagina19cl @PSChile @PPD_Chile @ADignidadCL Cual de todas? la única la perversa, la repugnante Marcela C… https://t.co/Je9plC0h7v"
Partido Comunista ☭ - Las Condes,2022-08-13 03:51:15+00:00,1,Twitter for Android,"Imaginen el nivel de presupuesto de la ""caramelito de natre"" Marcela Cubillos, que regala libros de buena factura,… https://t.co/K8nrvTbcBT"
Lorraine,2022-08-13 03:09:41+00:00,0,Twitter Web App,📹 Denuncian que ex constituyente Marcela Cubillos entrega libros desinformando sobre la propuesta de… https://t.co/pxE2HahsjR
Javier Gonzalez,2022-08-13 03:05:19+00:00,1,Twitter Web App,@ms_tomatican Para mí debería ser una de las candidatas a saltar a cargo de ministra. Hasta Marcela Cubillos hablaba bien de ella....
Marcos Moya,2022-08-13 02:04:41+00:00,0,Twitter for Android,"@udipopular
 Que puede decir por la entrega de libros ideológico con la Constitución modificado de Marcela cubillos… https://t.co/ANLD6mLL2f"
Alesito 🏳️‍🌈AprueboNuevaConstitución🏳️‍🌈,2022-08-12 21:08:18+00:00,0,Twitter for Android,"@mcubillossigall @ucatolica Cubillos, Marinovic y Hube de centro derecha. Mentirosa y corrupta es decirte poco. Cob… https://t.co/pP6SeUB5z5"
José Miguel,2022-08-12 12:53:51+00:00,0,Twitter for Android,"@mcubillossigall Los que es malo para ""Marcela Cubillos y Rechazo UDI RN EVOPOLI: a nefasta cruenta y sangrienta Co… https://t.co/gyCu4OGKuR"
Joaquin Meli,2022-08-12 03:51:40+00:00,202,Twitter for iPhone,Wn como que no estuvieron sobre representados los indígenas en la Convención? Marcela Cubillos sola sacó más votos… https://t.co/PozoQ5OZgl
Rubén Sfeir Schiappacasse,2022-08-12 03:48:07+00:00,0,Twitter Web App,"@XimenaS10486604 Tenemos varios: Marcela Cubillos, Kate Montealegre, Eduardo Cretton, Bernardo Fontaine, Tere Marin… https://t.co/JLK3TI6vGb"
Italo Neira,2022-08-12 00:25:37+00:00,302,Twitter for iPhone,"@mcubillossigall Otro gran aporte de Marcela Cubillos, como cuando"
J,2022-08-11 20:31:11+00:00,65,Twitter Web App,"El acuerdo no le gustó al extremismo de centro, a Marcela Cubillos, al que mató al Peyuco, a Daniel Jadue ni a Daniel Stingo."
dofogeo,2022-08-11 19:37:20+00:00,0,Twitter Web App,@mcubillossigall marcela cubillos = 💩💩
SilvanaBorquez 💜 Yotecreo y Apruebosinmiedo,2022-08-11 17:23:19+00:00,2,Twitter for iPad,"@AleZooReload @FernandoLealA @Mister_Wolf_0 Bueno , sigo reflexionando .  Mientras Marcela Cubillos y similares se dan un fieston"
Deodaro,2022-08-11 17:17:42+00:00,0,Twitter Web App,"@lola161807 Marcela Cubillos inició su carrera política el 2000. Salvo Matthei, no hay otro. Y hasta por ahí no más… https://t.co/e9I6K5ADTE"
gonzalo andres rojas,2022-08-20 15:11:52+00:00,0,Twitter Web App,Porque digo nuevamente esto porque los ex ministros de salud jaime mañalich enrique paris y la ex subsecretaria pau… https://t.co/jRh2GScVMR
Juan Pudu,2022-08-20 02:53:14+00:00,13,Twitter for Mac,@aquiradiomoscu Ojo que la pagina en https://t.co/LT3Avqspxv esta a nombre de Jaime González Kazazian. Abogado y es… https://t.co/IHSCyeLGhZ
Pauta,2022-08-19 23:00:01+00:00,0,TweetDeck,"El exministro de Salud sostuvo que el fallo que suspende el alza de las isapres ""acelera la certidumbre financiera… https://t.co/HlQegz1OFU"
